date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:59	90420/90420	---MC-	200	added ('OK')	text/html	date:Mon,%2015%20Jan%202024%2009:58:37%20GMT	https://lezato.dexignzone.com/laravel/demo/index	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/index.html	(from )
15:27:59	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2009:58:38%20GMT	https://lezato.dexignzone.com/robots.txt		(from )
15:28:00	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Jan%202024%2009:58:38%20GMT	https://lezato.dexignzone.com/laravel/social-image.png	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/social-image.png	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:00	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jan%202024%2009:58:38%20GMT	https://lezato.dexignzone.com/laravel/demo/images/favicon.png	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/images/favicon.png	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:00	2111/2111	---M--	200	added ('OK')	image/png	date:Wed,%2007%20Jul%202021%2011:20:20%20GMT	https://lezato.dexignzone.com/laravel/demo/public/images/favicon.png	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/public/images/favicon.png	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:00	294/294	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jan%202024%2009:58:39%20GMT	https://lezato.dexignzone.com/laravel/demo/vendor/chartist/css/chartist.min.css	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/vendor/chartist/css/chartist.min.css	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:01	11508/11508	---M--	200	added ('OK')	text/css	date:Wed,%2017%20Jul%202019%2005:44:38%20GMT	https://lezato.dexignzone.com/laravel/demo/public/vendor/chartist/css/chartist.min.css	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/public/vendor/chartist/css/chartist.min.css	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:01	303/303	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jan%202024%2009:58:39%20GMT	https://lezato.dexignzone.com/laravel/demo/vendor/jquery-nice-select/css/nice-select.css	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/vendor/jquery-nice-select/css/nice-select.css	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:01	4048/4048	---M--	200	added ('OK')	text/css	date:Thu,%2003%20Jun%202021%2007:22:44%20GMT	https://lezato.dexignzone.com/laravel/demo/public/vendor/jquery-nice-select/css/nice-select.css	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/public/vendor/jquery-nice-select/css/nice-select.css	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:01	271/271	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jan%202024%2009:58:40%20GMT	https://lezato.dexignzone.com/laravel/demo/css/style.css	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/css/style.css	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:02	277/277	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Jan%202024%2009:58:40%20GMT	https://lezato.dexignzone.com/laravel/demo/images/avatar/1.jpg	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/images/avatar/1.jpg	(from https://lezato.dexignzone.com/laravel/demo/index)
15:28:02	5693/5693	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2005:05:36%20GMT	https://lezato.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	C:/Users/User/OneDrive/Desktop/sarfraj/lezato.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	(from https://lezato.dexignzone.com/laravel/demo/index)
